,name,geometry,capability,country,city
0,Impresión 3D Infinity Makers (ELF Maker),POINT Z (-99.24063700000001 19.014043 0),threed,MX,Huitzilac
1,Impresión 3D y Electrónica. DIAC-3D,POINT Z (-99.24327099999999 18.928531 0),threed,MX,Cuernavaca
2,IMPRESIÓN 3D Taller de diseño,POINT Z (-99.208235 18.92575 0),threed,MX,Cuernavaca
3,Jart Studio (sucursal) - Impresión 3D,POINT Z (-99.144587 18.878456 0),threed,MX,Progreso
4,3DZone S.A. de C.V.,POINT Z (-99.192891 18.933316 0),threed,MX,Loma Bonita
5,3D Creator,POINT Z (-99.164267 18.920236 0),threed,MX,Tetecolala
6,Minifabricas 3D,POINT Z (-99.21978300000001 18.923788 0),threed,MX,Cuernavaca
7,impresión 3D,POINT Z (-99.19390300000001 18.933479 0),threed,MX,Loma Bonita
8,GraficaX,POINT Z (-99.250525 18.928782 0),threed,MX,Cuernavaca
9,Impresión I3D,POINT Z (-99.18214399999999 19.435779 0),threed,MX,Miguel Hidalgo
10,Impresión 3D México,POINT Z (-99.173748 19.435446 0),threed,MX,Miguel Hidalgo
11,Concepto 3D,POINT Z (-99.173085 19.433516 0),threed,MX,Miguel Hidalgo
12,HENKSA Impresiones 3D,POINT Z (-99.05257 19.470129 0),threed,MX,Venustiano Carranza
13,Eje Zeta impresión 3D,POINT Z (-99.141454 19.372538 0),threed,MX,Colonia Nativitas
14,AYI Modelado e Impresión 3D,POINT Z (-99.04653500000001 19.316912 0),threed,MX,Iztapalapa
15,Impresion 3D XYZ,POINT Z (-99.23383800000001 19.270364 0),threed,MX,Lomas de Tepemecatl
16,IMPRERIA® Impresión 3D,POINT Z (-99.17449000000001 19.393926 0),threed,MX,Colonia del Valle
17,Oopart 3D Maker,POINT Z (-99.01667399999999 19.401484 0),threed,MX,Ciudad Nezahualcoyotl
18,Jart Studio - Impresion 3D,POINT Z (-99.24748 19.331639 0),threed,MX,Magdalena Contreras
22,Yeah makers - Impresión 3d,POINT Z (-99.070004 19.371508 0),threed,MX,Iztapalapa
23,iD3D - Diseño e Impresión 3D,POINT Z (-99.09110800000001 19.487199 0),threed,MX,Gustavo A. Madero
24,PRO-AC (Impresión 3D),POINT Z (-99.143683 19.621938 0),threed,MX,Ampliacion San Mateo (Colonia Solidaridad)
28,grafx impresora 3d Hidalgo,POINT Z (-98.7704 20.099556 0),threed,MX,Rinconadas de San Francisco
29,PROTO Impresión 3D,POINT Z (-98.77293299999999 20.105117 0),threed,MX,Rinconadas de San Francisco
30,ToolBox. Impresión en 3D,POINT Z (-98.771254 20.057269 0),threed,MX,Magisterio Digno
31,"Astro Mx: Impresión 3D, Prototipado y Diseño 3D. Pachuca, México",POINT Z (-98.746138 20.114257 0),threed,MX,Pachuca de Soto
32,"NEXT, Impresión 3D",POINT Z (-98.733817 20.126411 0),threed,MX,Pachuca de Soto
33,AxoLab 3D,POINT Z (-98.748189 20.121914 0),threed,MX,Pachuca de Soto
34,Plotter plano mágico,POINT Z (-98.754053 20.122721 0),threed,MX,Pachuca de Soto
35,Ocean Tech & 3D Print reparación de celulares e impresión 3D,POINT Z (-98.713206 20.099987 0),threed,MX,Campestre Villas del Alamo
36,ALUX 3D,POINT Z (-98.73697 20.078978 0),threed,MX,El Saucillo
37,Pixart 3D,POINT Z (-98.742541 20.107908 0),threed,MX,Pachuca de Soto
38,Develop Tronic Impresiones 3D Tlaxcala,POINT Z (-98.23759800000001 19.329118 0),threed,MX,Acxotla del Rio
39,Proyectos VADI - Impresión 3D Tlaxcala,POINT Z (-98.139588 19.415919 0),threed,MX,Apizaco
40,Prototyprint impresión 3D,POINT Z (-98.172675 19.059153 0),threed,MX,Puebla
41,Impresoras 3D Puebla SAS de CV,POINT Z (-98.271455 19.08041 0),threed,MX,Santiago Momoxpan
42,3D-Print.com.mx,POINT Z (-98.20020100000001 18.989835 0),threed,MX,Articulo Primero Constitucional
43,MC3D Puebla / Filamentos para Impresion 3D,POINT Z (-98.172342 19.051106 0),threed,MX,Puebla
44,3D Cre8tions,POINT Z (-98.20813 19.000877 0),threed,MX,Puebla
45,MAAD 3D,POINT Z (-98.204509 19.066849 0),threed,MX,Puebla
46,IDXI 3D,POINT Z (-98.177311 19.319875 0),threed,MX,San Bernardino Contla
47,DITCEM IMPRESION 3D,POINT Z (-98.137444 19.417874 0),threed,MX,Apizaco
48,STUDIO 3D MAKER,POINT Z (-96.906004 19.520582 0),threed,MX,Xalapa de Enriquez
49,PK-IND,POINT Z (-96.92251899999999 19.513644 0),threed,MX,Xalapa de Enriquez
50,3Dream,POINT Z (-96.898878 19.533238 0),threed,MX,Xalapa de Enriquez
51,"Artcraft - Estudio de Diseño Digital (Corte CNC, Vinil, Impresión 3D)",POINT Z (-96.88212900000001 19.513536 0),threed,MX,Lomas Verdes
52,3DEICBi,POINT Z (-96.900142 19.569362 0),threed,MX,El Pueblito (Garbanzal)
53,Ci Digital,POINT Z (-96.922246 19.511529 0),threed,MX,Xalapa de Enriquez
54,"Artcraft estudio de diseño digital (Corte CNC, Vinil, Impresión 3D, Agendas, Regalos personalizados, Letras LED)",POINT Z (-96.93692299999999 19.564789 0),threed,MX,Banderilla
55,InnovaGeek,POINT Z (-96.92700499999999 19.537472 0),threed,MX,Xalapa de Enriquez
56,Multigráfica del Centro,POINT Z (-96.917479 19.538468 0),threed,MX,Xalapa de Enriquez
57,Rubika,POINT Z (-96.930939 19.548653 0),threed,MX,Xalapa de Enriquez
58,Impresion 3D Creative Link,POINT Z (-96.135464 19.183334 0),threed,MX,Veracruz
59,Impronta 3D,POINT Z (-96.12924 19.172425 0),threed,MX,Veracruz
60,J3D Taller de Impresión 3D,POINT Z (-96.164536 19.151777 0),threed,MX,Hacienda Sotavento
61,3Decora,POINT Z (-96.11211900000001 19.145819 0),threed,MX,Veracruz
62,WorkPress Digital Centre,POINT Z (-96.129446 19.174379 0),threed,MX,Veracruz
63,MAIC Graph Solution,POINT Z (-96.132808 19.180328 0),threed,MX,Veracruz
64,El Taller Diseño e Impresión,POINT Z (-96.18252099999999 19.131122 0),threed,MX,Hacienda Sotavento
65,anuncios luminosos y 3D Visión Publicitaria,POINT Z (-96.133574 19.169648 0),threed,MX,Veracruz
66,All Printing & Digital Services,POINT Z (-96.145917 19.187971 0),threed,MX,Veracruz
67,Diamond Industrial Print,POINT Z (-96.131513 19.180953 0),threed,MX,Veracruz
71,Impresiones 3d,POINT Z (-97.596549 19.857844 0),threed,MX,Los Cristales (Talican)
73,QUIU 3D MX,POINT Z (-97.99697999999999 20.080584 0),threed,MX,Toxtla
78,Ultra 3D,POINT Z (-97.111683 18.855148 0),threed,MX,Orizaba
79,Kiub Studio,POINT Z (-97.093592 18.848319 0),threed,MX,Orizaba
80,Centro de Impresión Cubo 3,POINT Z (-97.384621 18.464748 0),threed,MX,Tehuacan
81,"Impresión 3D, Corte laser, Rotulación (SAITE)",POINT Z (-97.78227800000001 18.989196 0),threed,MX,Acatzingo de Hidalgo
82,SYP GRAPHIC: DISEÑO Y PUBLICIDAD GRAFICA,POINT Z (-97.38463900000001 18.454807 0),threed,MX,Tehuacan
83,Enlace Comunicacion Visual,POINT Z (-97.108223 18.844056 0),threed,MX,Orizaba
84,Printhing,POINT Z (-97.403763 18.461076 0),threed,MX,Tehuacan
86,SEGA COLOR,POINT Z (-97.34789600000001 18.325961 0),threed,MX,San Gabriel Chilac
90,"Tridi Mx, 3D Printing",POINT Z (-100.266271 20.564399 0),threed,MX,El Colorado
96,Impresion 3d Toluca,POINT Z (-99.648409 19.282976 0),threed,MX,Toluca
98,boja3d - impresión 3D,POINT Z (-100.261134 20.55831 0),threed,MX,El Colorado
99,Manufactura Aditiva Queretana - Impresión 3D,POINT Z (-100.43515 20.543266 0),threed,MX,El Pueblito
100,MakerGarage Impresion 3d Corte y Grabado Láser Router CNC,POINT Z (-100.373292 20.557002 0),threed,MX,Venceremos
101,Diseño Mecánico e Impresión 3D,POINT Z (-100.394401 20.584935 0),threed,MX,Santiago de Queretaro
102,Impresión 3D Querétaro,POINT Z (-100.392244 20.567471 0),threed,MX,Venceremos
103,IMPRES 3D,POINT Z (-100.401681 20.583459 0),threed,MX,Santiago de Queretaro
104,Qrobotics Impresión 3D exprés,POINT Z (-100.385386 20.555707 0),threed,MX,Venceremos
105,Impresoras3d.com.mx - Queretaro,POINT Z (-100.400635 20.582432 0),threed,MX,Santiago de Queretaro
106,3D MARKET - Impresoras 3D,POINT Z (-100.375198 20.590336 0),threed,MX,Santiago de Queretaro
118,Impresion 3D morelia,POINT Z (-101.183392 19.693117 0),threed,MX,Morelia
119,ARM Servicio de impresion 3d,POINT Z (-101.174013 19.702824 0),threed,MX,Morelia
120,Doers 3D printing services & more,POINT Z (-101.27642 19.69923 0),threed,MX,Villas de la Loma
121,3D LAB Morelia,POINT Z (-101.153491 19.698853 0),threed,MX,Puerto de Buenavista (Lazaro Cardenas)
122,Soluciones e Impresiones 3D G&G,POINT Z (-101.162623 19.645036 0),threed,MX,Montana Monarca (Punta Altozano)
123,Custom 3D,POINT Z (-101.189479 19.702178 0),threed,MX,Morelia
124,EcoProtej,POINT Z (-101.155341 19.695414 0),threed,MX,Puerto de Buenavista (Lazaro Cardenas)
125,Tecnova3D,POINT Z (-101.173635 19.703446 0),threed,MX,Morelia
126,PRINT3DIAZ,POINT Z (-101.200552 19.720112 0),threed,MX,Morelia
127,Creaciones y Novedades Lupita (Servicio de Impresíon 3D),POINT Z (-101.207635 19.723362 0),threed,MX,Real Hacienda (Metropolis)
128,"YNSoluciones JIGS, FIXTURES, 3D, MEDICIÓN, CNC",POINT Z (-101.405683 20.686558 0),threed,MX,Villas de Irapuato
129,Impresoras 3D 🖨,POINT Z (-101.431332 20.930135 0),threed,MX,Silao
130,IMPRESION 3D ELOHIM,POINT Z (-101.220675 20.565592 0),threed,MX,Salamanca
131,JL Diseño,POINT Z (-101.356647 20.69184 0),threed,MX,Irapuato
132,El Taller de la Impresión,POINT Z (-101.355774 20.677414 0),threed,MX,Irapuato
133,Capa 3D,POINT Z (-101.365145 20.696412 0),threed,MX,Irapuato
134,PANAL 3D,POINT Z (-101.339625 20.692302 0),threed,MX,Irapuato
135,Tecnicolors - Imprenta,POINT Z (-101.3376 20.670002 0),threed,MX,Irapuato
136,Impresión Grafica,POINT Z (-101.226394 20.586735 0),threed,MX,Salamanca
137,GEAR Impresión 3D GTO,POINT Z (-101.277496 20.979719 0),threed,MX,Yerbabuena
138,Haxu Impresión 3D,POINT Z (-103.387228 20.67264 0),threed,MX,Guadalajara
139,Threed impresión 3D,POINT Z (-103.385904 20.633604 0),threed,MX,Guadalajara
140,MONAVAX Laboratorio Creativo,POINT Z (-103.386179 20.684552 0),threed,MX,Guadalajara
141,MakerDESIGN® Impresoras 3D Guadalajara,POINT Z (-103.372519 20.68972 0),threed,MX,Guadalajara
142,Createbot México | Todo en impresión 3D,POINT Z (-103.383561 20.66204 0),threed,MX,Guadalajara
143,CLIP3D by Sköll - ESCANEO 3D E IMPRESIÓN 3D,POINT Z (-103.389816 20.651611 0),threed,MX,Guadalajara
144,Impresion 3D piramide,POINT Z (-103.371723 20.682584 0),threed,MX,Guadalajara
145,ProtoG LAB- Maquila corte láser e impresión 3D,POINT Z (-103.352208 20.685641 0),threed,MX,Guadalajara
146,Impresion 3D Impresoras 3D printbot,POINT Z (-103.354624 20.700895 0),threed,MX,Zapopan
147,ProWorks Impresion 3D,POINT Z (-103.37943 20.757245 0),threed,MX,Zapopan
148,MakerMex Manufactura Digital,POINT Z (-101.661652 21.157345 0),threed,MX,Leon
149,"ArtToise, Impresión 3D , Corte CNC, Escaneo 3D",POINT Z (-101.680272 21.165508 0),threed,MX,Leon
150,Rayo 3D impresiones,POINT Z (-101.635899 21.070547 0),threed,MX,San Jose de Duran (Los Troncoso)
151,InjeK 3D,POINT Z (-101.690007 21.153808 0),threed,MX,Leon
152,MakerLab MakerMex,POINT Z (-101.710593 21.16523 0),threed,MX,La Ermita
153,DISEÑO E IMPRESIÓN 3D Y CORTE LÁSER,POINT Z (-101.645345 21.079536 0),threed,MX,San Jose de Duran (Los Troncoso)
154,"creaTorre: impresión 3D, corte láser, diseño 2D y 3D.",POINT Z (-101.678107 21.200271 0),threed,MX,Leon
156,"Romitaレーザー Diseño y Desarrollo de Productos, Maquila de Corte Láser, Prototipado, Impresión 3D, Maquinados CNC, Moldes, Carpintería Fina.",POINT Z (-101.693295 21.137791 0),threed,MX,Leon
157,Banana 3D,POINT Z (-101.660307 21.150133 0),threed,MX,Leon
158,Cad Design Artes Gráficas,POINT Z (-103.713384 19.25381 0),threed,MX,Colima
159,3D Printing,POINT Z (-103.714013 19.272044 0),threed,MX,Ciudad de Villa de Alvarez
160,Villa3D,POINT Z (-103.740237 19.278735 0),threed,MX,Ciudad de Villa de Alvarez
161,Deimaga,POINT Z (-103.739967 19.275104 0),threed,MX,Ciudad de Villa de Alvarez
162,DCI DISEÑA . CREA . INNOVA,POINT Z (-103.023451 19.993576 0),threed,MX,San Jose de Gracia
163,Memética Diseño e Impresión letras 3d,POINT Z (-103.727147 19.255896 0),threed,MX,Colima
164,Tips Diseño e Impresión,POINT Z (-103.742303 19.267751 0),threed,MX,Ciudad de Villa de Alvarez
165,PlusKreations,POINT Z (-103.715903 19.250517 0),threed,MX,Colima
166,Star Publicidad e Impresión,POINT Z (-103.735525 19.244337 0),threed,MX,Colima
167,3D SIGNS,POINT Z (-103.695806 19.236698 0),threed,MX,Colima
168,BioMx-3D,POINT Z (-102.112195 19.8473 0),threed,MX,Chilchota
169,Concept Design 3d,POINT Z (-102.041931 19.410563 0),threed,MX,Uruapan
170,Deypers 3D,POINT Z (-102.367209 19.105202 0),threed,MX,Apatzingan
171,Viplabs,POINT Z (-102.112342 19.847251 0),threed,MX,Chilchota
172,Litho Quality,POINT Z (-102.057662 19.412328 0),threed,MX,Uruapan
173,IMPRENTA PANDA GRAFICA,POINT Z (-102.28194 19.974103 0),threed,MX,Zamora
178,Impresión 3D I Impresiones Tres D,POINT Z (-102.290905 21.906948 0),threed,MX,Aguascalientes
179,VIVLO 3D,POINT Z (-102.289135 21.901358 0),threed,MX,Aguascalientes
180,Impresión 3D Aguascalientes,POINT Z (-102.290838 21.880681 0),threed,MX,Aguascalientes
181,CAD SURFER,POINT Z (-102.301738 21.902856 0),threed,MX,Aguascalientes
182,"Impresiones 3d, Filamentos, Resinas y papelería. Captis",POINT Z (-102.309439 21.857593 0),threed,MX,Aguascalientes
183,3dPlaBs,POINT Z (-102.311466 21.897406 0),threed,MX,Aguascalientes
184,Impresión 3D Prism Design,POINT Z (-102.321 21.834534 0),threed,MX,La Loma de los Negritos
185,Cnc Corte Y Grabado Impresión 3D,POINT Z (-102.289149 21.901324 0),threed,MX,Aguascalientes
186,impresión 3d Aguascalientes,POINT Z (-102.267388 21.827386 0),threed,MX,San Sebastian [Fraccionamiento]
187,mega impresión 3D,POINT Z (-102.296688 21.831889 0),threed,MX,San Sebastian [Fraccionamiento]
188,3d Workshop - Impresiones en 3d,POINT Z (-101.029086 22.140738 0),threed,MX,Guadalupe Victoria
189,Impresion 3D - 3Dprint SLP,POINT Z (-100.975203 22.138605 0),threed,MX,San Luis Potosi
190,"Impresion 3D, Diseño y Prototipos del Centro",POINT Z (-100.960186 22.189878 0),threed,MX,Soledad Diez Gutierrez
191,Impresiones 3D,POINT Z (-100.865888 22.105497 0),threed,MX,Ciudad Satelite
192,CREACION 3D SLP - IMPRESIONES 3D Y MAQUINADOS,POINT Z (-100.960673 22.176112 0),threed,MX,Soledad de Graciano Sanchez
193,ID3D Impresión y Diseño 3D,POINT Z (-100.945025 22.149798 0),threed,MX,Soledad de Graciano Sanchez
194,Centrica 3D Impresion 3D SLP,POINT Z (-100.977554 22.139197 0),threed,MX,San Luis Potosi
195,CAPA 3D (Impresión 3D),POINT Z (-101.029466 22.137778 0),threed,MX,Guadalupe Victoria
196,3DM-impresiones 3D,POINT Z (-100.979968 22.12883 0),threed,MX,San Luis Potosi
197,DISEÑO E IMPRESIONES PLANETA 3D,POINT Z (-101.936933 21.361794 0),threed,MX,Lagos de Moreno
208,Impresiones en 3d en tampico - 3Dsmart,POINT Z (-97.855813 22.218685 0),threed,MX,Anahuac
209,Appolo's 3D,POINT Z (-97.927836 22.404578 0),threed,MX,Altamira
210,Impublic 3D,POINT Z (-97.849687 22.216649 0),threed,MX,Anahuac
211,Impresores Salem Offset S.A. de C.V.,POINT Z (-97.87810500000001 22.318529 0),threed,MX,Miramar
212,Grupo Publismart,POINT Z (-97.855278 22.219638 0),threed,MX,Anahuac
213,Business Innovation - buró de impresión,POINT Z (-97.86489400000001 22.226396 0),threed,MX,Anahuac
214,INTERGRAF Imprenta Digital,POINT Z (-97.855611 22.243553 0),threed,MX,Tampico
215,xD Diseño & Print Tampico,POINT Z (-97.855527 22.261807 0),threed,MX,Tampico
216,CREATIFY - Comunicación Visual,POINT Z (-97.858743 22.216594 0),threed,MX,Anahuac
217,SI GI Graphics,POINT Z (-97.90809900000001 22.392981 0),threed,MX,La Pedrera
218,RoCa Print3D [IMPRESIONES 3D cd Victoria] (Cubos Frida entrega),POINT Z (-99.150391 23.730838 0),threed,MX,Ciudad Victoria
219,NIX Desarrollo Tecnológico,POINT Z (-99.149897 23.737241 0),threed,MX,Ciudad Victoria
221,Impresiones 3d . Ninja,POINT Z (-100.291403 25.691675 0),threed,MX,Monterrey
225,Make Mike,POINT Z (-100.394114 25.655545 0),threed,MX,San Pedro Garza Garcia
226,3D Factory MX,POINT Z (-100.302874 25.685434 0),threed,MX,Monterrey
227,Region 3D,POINT Z (-100.316616 25.734633 0),threed,MX,San Nicolas de los Garza
228,Lar3do Print,POINT Z (-99.49425599999999 27.488501 0),threed,US,Laredo
229,Impresion 3D Matamoros,POINT Z (-97.466615 25.870055 0),threed,MX,Heroica Matamoros
230,Espontánea,POINT Z (-97.529798 25.840489 0),threed,MX,Heroica Matamoros
231,Random 3D,POINT Z (-98.33189400000001 26.063604 0),threed,MX,Reynosa
232,Garza 3D,POINT Z (-98.371606 26.042315 0),threed,MX,Reynosa
233,UNICO centro de impresión,POINT Z (-99.51137 27.486083 0),threed,MX,Nuevo Laredo
234,Sarey Print Shop,POINT Z (-97.499825 25.846085 0),threed,MX,Heroica Matamoros
235,Design To Go,POINT Z (-97.51975299999999 25.849387 0),threed,MX,Heroica Matamoros
236,Impresion 3D - Melborn Engineering,POINT Z (-100.275286 25.741222 0),threed,MX,San Nicolas de los Garza
237,IMPRESION Y DISEÑO,POINT Z (-99.564221 24.858016 0),threed,MX,Linares
238,Impresion 3D Mérida,POINT Z (-89.582796 21.030512 0),threed,MX,Merida
239,i3D - Ingeniería en 3D,POINT Z (-89.64752300000001 21.070941 0),threed,MX,Komchen
240,Impresiones Mundo 3D,POINT Z (-89.59572799999999 20.945717 0),threed,MX,Merida
